,Survived,Pclass,Age,Siblings/Spouses Aboard,Parents/Children Aboard,Fare,Sex_female,Sex_male
173,0,1,56.0,0,0,30.6958,0,1
793,1,3,31.0,0,0,8.6833,1,0
818,0,1,38.0,0,0,0.0,0,1
490,0,1,71.0,0,0,49.5042,0,1
361,0,3,35.0,0,0,7.05,0,1
53,0,1,65.0,0,1,61.9792,0,1
162,0,3,17.0,0,0,8.6625,0,1
137,0,3,16.0,0,0,9.2167,0,1
470,1,2,23.0,0,0,13.7917,1,0
22,1,3,15.0,0,0,8.0292,1,0
18,0,3,31.0,1,0,18.0,1,0
559,0,2,28.0,0,0,13.5,0,1
210,1,2,35.0,0,0,21.0,1,0
54,1,1,46.0,0,0,35.5,0,1
799,1,3,0.42,0,1,8.5167,0,1
481,1,1,25.0,1,0,91.0792,0,1
357,1,3,23.0,0,0,7.8792,1,0
85,0,3,16.0,1,3,34.375,0,1
355,0,2,38.0,0,0,13.0,1,0
307,1,1,30.0,0,0,56.9292,1,0
184,0,1,39.0,0,0,50.0,0,1
60,1,1,38.0,0,0,80.0,1,0
153,0,3,27.0,0,0,7.3125,0,1
147,0,2,36.5,0,2,26.0,0,1
825,1,1,62.0,0,0,80.0,1,0
382,0,3,27.0,0,0,7.8958,0,1
149,0,2,51.0,0,0,12.525,0,1
71,0,2,21.0,0,0,73.5,0,1
840,0,3,17.0,0,0,8.6625,0,1
206,1,3,26.0,0,0,18.7875,0,1
548,0,2,27.0,0,0,26.0,0,1
397,1,2,28.0,0,0,12.65,1,0
747,1,3,6.0,0,1,12.475,0,1
703,1,2,45.0,0,0,13.5,1,0
333,0,3,30.0,0,0,7.8958,0,1
505,0,3,28.0,0,0,22.525,0,1
804,0,2,39.0,0,0,13.0,0,1
47,0,3,16.0,2,0,21.6792,0,1
712,0,3,19.0,0,0,7.65,0,1
459,0,1,47.0,0,0,38.5,0,1
245,0,3,25.0,0,0,7.775,1,0
246,1,2,24.0,0,2,14.5,1,0
401,0,3,28.0,1,0,15.85,0,1
233,0,2,24.0,0,0,10.5,0,1
299,1,3,24.0,2,0,23.25,0,1
554,0,1,45.0,0,0,227.525,0,1
591,0,2,37.0,1,0,26.0,0,1
156,0,3,30.0,0,0,8.05,0,1
541,0,1,50.0,1,0,106.425,0,1
72,0,3,26.0,1,0,14.4542,0,1
547,1,1,17.0,0,2,110.8833,0,1
721,0,3,20.0,0,0,8.6625,0,1
584,1,1,60.0,1,1,79.2,0,1
756,0,3,23.0,0,0,14.5,0,1
378,1,1,42.0,0,0,227.525,1,0
172,0,3,21.0,0,0,7.925,0,1
447,0,2,36.0,1,2,27.75,0,1
833,0,3,20.0,0,0,8.05,0,1
133,0,2,25.0,0,0,13.0,0,1
339,1,1,24.0,3,2,263.0,1,0
653,0,3,27.0,0,0,7.8958,0,1
564,0,3,29.0,0,4,21.075,1,0
659,0,1,47.0,0,0,25.5875,0,1
499,0,3,21.0,0,0,7.6292,1,0
858,1,1,48.0,0,0,25.9292,1,0
3,1,1,35.0,1,0,53.1,1,0
606,1,1,40.0,0,0,153.4625,1,0
445,1,3,5.0,2,1,19.2583,1,0
327,1,1,16.0,0,1,57.9792,1,0
324,0,3,61.0,0,0,6.2375,0,1
803,0,3,18.0,0,0,7.775,1,0
494,0,3,55.0,0,0,15.1,0,1
411,0,2,22.0,0,0,0.0,0,1
238,0,2,33.0,0,0,12.275,0,1
300,0,3,19.0,0,0,0.0,0,1
832,0,3,21.0,0,0,8.6625,0,1
796,0,2,34.0,0,0,13.0,0,1
304,1,1,42.0,0,0,110.8833,1,0
348,0,3,23.0,0,0,9.225,0,1
412,1,3,44.0,0,0,7.925,0,1
821,0,3,36.0,0,0,6.95,0,1
194,1,1,58.0,0,0,146.5208,1,0
82,0,1,28.0,0,0,47.1,0,1
752,0,3,28.0,0,0,7.7958,0,1
729,0,2,23.0,0,0,13.0,0,1
286,1,2,42.0,0,0,13.0,0,1
287,1,3,22.0,0,0,7.75,1,0
